Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,3774.949951,3795.719971,3772.800049,3787.429932,3787.429932,1817960000,0
2013-09-27,3767.889893,3788.350098,3762.669922,3781.590088,3781.590088,1699720000,1
2013-09-30,3737.600098,3780.969971,3734.73999,3771.47998,3771.47998,1895760000,2
2013-10-01,3774.179932,3817.97998,3774.179932,3817.97998,3817.97998,1843320000,3
2013-10-02,3793.110107,3819.280029,3788.449951,3815.02002,3815.02002,1792980000,4
2013-10-03,3809.899902,3816.959961,3753.169922,3774.340088,3774.340088,1884340000,5
2013-10-04,3774.719971,3812.860107,3773.399902,3807.75,3807.75,1549600000,6
2013-10-07,3776.639893,3800.080078,3769.75,3770.379883,3770.379883,1475990000,7
2013-10-08,3772.219971,3772.48999,3694.149902,3694.830078,3694.830078,2087580000,8
2013-10-09,3701.620117,3702.149902,3650.030029,3677.780029,3677.780029,2242700000,9
2013-10-10,3721.580078,3764.719971,3721.110107,3760.75,3760.75,1902410000,10
2013-10-11,3753.219971,3794.370117,3751.379883,3791.870117,3791.870117,1750350000,11
2013-10-14,3767.48999,3816.409912,3766.280029,3815.280029,3815.280029,1455160000,12
2013-10-15,3810.719971,3824.439941,3789.679932,3794.01001,3794.01001,1745560000,13
2013-10-16,3815,3840.47998,3814.149902,3839.429932,3839.429932,1744000000,14
2013-10-17,3822.850098,3863.48999,3821.429932,3863.149902,3863.149902,1975140000,15
2013-10-18,3893.360107,3914.929932,3882.060059,3914.280029,3914.280029,1943090000,16
2013-10-21,3922.649902,3931.449951,3909.909912,3920.050049,3920.050049,1674470000,17
2013-10-22,3935.540039,3947.669922,3904.060059,3929.570068,3929.570068,1890500000,18
2013-10-23,3907.300049,3911.639893,3887.669922,3907.070068,3907.070068,1915030000,19
2013-10-24,3911.610107,3932.600098,3907.540039,3928.959961,3928.959961,2054350000,20
2013-10-25,3955.97998,3961.100098,3927.5,3943.360107,3943.360107,2225780000,21
2013-10-28,3942.560059,3947.580078,3927.090088,3940.129883,3940.129883,1904810000,22
2013-10-29,3954.340088,3957.120117,3934.939941,3952.340088,3952.340088,1897380000,23
2013-10-30,3962.399902,3966.709961,3919.139893,3930.620117,3930.620117,1923000000,24
2013-10-31,3924.340088,3945.040039,3909.26001,3919.709961,3919.709961,2139650000,25
2013-11-01,3932.449951,3938.47998,3904.199951,3922.040039,3922.040039,1949460000,26
2013-11-04,3932.600098,3937.5,3919.459961,3936.590088,3936.590088,1817880000,27
2013-11-05,3925.060059,3947.27002,3909.629883,3939.860107,3939.860107,1934630000,28
2013-11-06,3952.179932,3955.969971,3920.909912,3931.949951,3931.949951,2020160000,29
2013-11-07,3935.810059,3938.330078,3855.070068,3857.330078,3857.330078,2303320000,30
2013-11-08,3871.23999,3919.22998,3869.120117,3919.22998,3919.22998,1981740000,31
